"Domain Name","Domain ID",Status,NS1,NS2,NS3,NS4,NS5,Notes,"Batch Number"
catmotors.co.za,6,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
edificesa.co.za,7,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
shirl.co.za,8,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
visioninsure.co.za,9,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
shadecollective.co.za,10,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
giftguide.co.za,12,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
proofitsa.co.za,13,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
thefixjn.co.za,14,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
primecorp.co.za,15,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
fbo.co.za,16,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
maxme.co.za,17,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
lutgesigns.co.za,18,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
lutgesigns.com,19,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
201wrap.co.za,20,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
revivemarketing.co.za,21,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
beachwalk.co.za,22,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
hanksroost.co.za,23,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
summerstrand-accommodation.co.za,24,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
akrealty.co.za,25,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
ticktockeducare.co.za,26,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
uborafinancial.co.za,27,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
laburnfinancial.co.za,28,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
devcon.biz,29,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,1
