"Domain Name","Domain ID",Status,NS1,NS2,NS3,NS4,NS5,Notes,"Batch Number"
everrit.co.za,390,Cancelled,ERROR,"Registrar Function Not Supported",,,,"Failed to get nameservers",8
mconengeneering.co.za,391,Cancelled,ERROR,"Registrar Function Not Supported",,,,"Failed to get nameservers",8
livewire.fit,392,Active,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",8
restage.fit,393,Active,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",8
zayneenergy.co.za,394,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",8
dkellyworld.co.za,395,Cancelled,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",8
eyethufishing.com,396,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
dtdistributors.net,398,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
matricme.co.za,399,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",8
autopridesc.co.za,400,Cancelled,ERROR,"Registrar Function Not Supported",,,,"Failed to get nameservers",8
pathwaywealthsolutions.co.za,401,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",8
proctechafrica.com,402,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
skulliesna.com,403,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
serresmining.com,404,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
direct2thepeople.com,405,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
skulliesusa.com,406,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
vanzylsinc.com,407,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
tkelvinuixwebsolutions.co.za,408,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",8
homemarketingsa.co.za,409,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
mftconsult.co.za,410,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",8
ivoline.co.za,411,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
purolife.co.za,412,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",8
infiniglowdigital.co.za,414,Active,ns1.kaldera.email,ns2.kaldera.email,,,,Success,8
thestickerco.co.za,415,Cancelled,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",8
reverbmediagroup.co.za,416,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",8
carellogroup.com,417,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
reverbdailymedia.co.za,418,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",8
fasttrackdocs.co.za,419,Cancelled,ERROR,"Registrar Function Not Supported",,,,"Failed to get nameservers",8
ready2cook.co.za,420,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",8
eventhirenetwork.co.za,421,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
katen.co.za,422,Cancelled,ERROR,"Registrar Function Not Supported",,,,"Failed to get nameservers",8
btgroupcompanies.co.za,423,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
oksinvestment.co.za,424,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
diratsagae-dikebu.co.za,425,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",8
futurefeedpro.co.za,426,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
toma-shalatimidlayi-khosa.co.za,427,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",8
thehandyhusbandpe.co.za,428,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
thamidynamicempiremarketin.co.za,429,Cancelled,ERROR,"Registrar Function Not Supported",,,,"Failed to get nameservers",8
nonhlanhlaholdings.co.za,430,Expired,ERROR,"Registrar Error Message",,,,"Failed to get nameservers",8
studiostv.com,432,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
thealignmentguys.co.za,433,Cancelled,ERROR,"Registrar Function Not Supported",,,,"Failed to get nameservers",8
imbriolo.com,435,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
arabellaconsulting.co.za,436,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
booyahcorp.co.za,437,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
krucocooling.co.za,438,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
vdetrading.co.za,440,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
t-tite.co.za,441,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
smartinstall.co.za,442,Cancelled,ERROR,"Registrar Function Not Supported",,,,"Failed to get nameservers",8
hopecontractors.co.za,443,Active,ns1.aredlak.com,ns2.aredlak.com,,,,Success,8
